segment_id,entity,label
0,Indigo,ORG
0,DGC,ORG
0,Second,ORDINAL
0,Sansa,GPE
0,two days,DATE
0,Anurak Takur,PERSON
0,TMC,ORG
0,Shogatar Roy,PERSON
0,BJP,ORG
0,Shogatas,ORG
0,Lok Sabha,PERSON
0,DMK,ORG
0,anti-Hindu,NORP
0,Over 50,CARDINAL
0,condemn impeachment motion,ORG
0,Deepam,ORG
0,India,GPE
0,today,DATE
0,Rahul Gandhi,PERSON
0,zero hour,TIME
0,Kirinu,PERSON
0,India,GPE
0,today,DATE
0,50th,ORDINAL
0,India,GPE
0,today,DATE
0,two,CARDINAL
0,Muri,GPE
0,Tamil Nadu's,PERSON
0,tomorrow,DATE
0,Maduray,GPE
0,Madras,LOC
0,BJP,ORG
0,BJP,ORG
0,DMK,ORG
0,Anurra Takur,PERSON
0,DMK,ORG
0,Takur,PERSON
0,This comes days,DATE
0,Amit Sha,PERSON
0,Justice,ORG
0,Swami Natan,PERSON
0,Over 50,CARDINAL
0,Swaminatan,PERSON
0,one,CARDINAL
0,India,GPE
0,anti-sanatan,NORP
0,Sanatan Dharma,PERSON
0,Ram,ORG
0,Maduray,ORG
0,Madras High Court,ORG
0,Tamil Ladu,PERSON
0,Aarthikai,GPE
0,the Maduray Thiru Kundaram Temple,FAC
0,Stalin,PERSON
0,Hindus,NORP
0,BJP,ORG
0,DMK,ORG
0,the end of the day,DATE
0,Anaga,PERSON
0,G. Swami,PERSON
0,Natan,GPE
0,India,GPE
0,today,DATE
0,Maduray,ORG
0,Madras,LOC
1,Tamil Nadu,PERSON
1,DMK,ORG
1,Tamil Nadu,FAC
1,the last 100 years,DATE
1,the year 1920,DATE
1,Gapati,NORP
1,the last 100 years,DATE
1,Tamil Nadu,PERSON
1,Hindu,NORP
1,Tamil Nadu,PERSON
1,Madras,LOC
1,Maday,DATE
1,Maduray,ORG
1,Indigo,ORG
1,Peter Albers,PERSON
1,DGCA,ORG
1,Poke Committee,ORG
1,four,CARDINAL
1,today,DATE
1,Indigo,ORG
1,F,ORG
1,the first week of December,DATE
1,Peter Elers,PERSON
1,Indigo,ORG
1,four,CARDINAL
1,DGCA,ORG
1,Indigo,ORG
1,the first week of December,DATE
1,Peter Elers,PERSON
1,Indigo,ORG
1,four,CARDINAL
1,four,CARDINAL
1,India,GPE
1,Indigo,ORG
1,15 days,DATE
1,the first week of December,DATE
1,DGCA,ORG
1,Indigo,ORG
1,Indigo,ORG
1,Peter Albus,PERSON
1,DGCS,NORP
1,four,CARDINAL
1,Indigo,ORG
1,the first week of December,DATE
1,Indigo,ORG
1,Indigo,ORG
1,DGCA,ORG
1,four,CARDINAL
1,Indigo,ORG
1,the Indigo Airlines,ORG
1,Indigo,ORG
1,Peter Albus,PERSON
1,two,CARDINAL
1,two days,DATE
1,Brah Mohunaidu,PERSON
1,Indigo,ORG
1,Indigo,ORG
1,Indigo,ORG
1,India,GPE
2,one day,DATE
2,two days,DATE
2,FTL,ORG
2,Indigo,ORG
2,Karnataka,GPE
2,Congress,ORG
2,Sedaraya,ORG
2,BJP,ORG
2,TCM,ORG
2,CM,ORG
2,Delhi,GPE
2,Karnataka,GPE
2,Pharaoh,ORG
2,DCM,ORG
2,Karnataka,GPE
2,Sidraaya,PERSON
2,Delhi,GPE
4,Karnataka,GPE
4,Karnataka,GPE
4,Yatra Sidraaya,PERSON
4,DK Shukumar's,PERSON
4,Diamond,ORG
4,Karnataka,ORG
4,BJP,ORG
4,DK Shukumar,PERSON
4,Sidraa,LOC
4,DK Shukuma,PERSON
4,Congress,ORG
4,CM,ORG
4,Sidraaya,PERSON
4,Congress,ORG
4,Delhi,GPE
4,Karnataka,GPE
4,CM,ORG
4,Congress,ORG
4,Sidraaya,PERSON
4,DKS,ORG
4,BJP,ORG
4,Karnataka,GPE
4,Congress,ORG
4,BJP,ORG
4,meme fest,ORG
4,Chalawadi Nar,PERSON
4,Swami,PERSON
4,the saffron party,ORG
4,CWC,ORG
4,DPRK,ORG
4,Congress,ORG
4,Sagay Raj Bureau,ORG
4,India,GPE
4,today,DATE
4,India,GPE
4,Bangkok,GPE
4,Thai,NORP
4,Sorab,ORG
4,Gorav Lutra,ORG
4,two,CARDINAL
4,Thai,NORP
4,Fukit,FAC
4,this hour,TIME
4,Indian,NORP
4,Thai,NORP
4,two,CARDINAL
4,yesterday,DATE
4,Thai,NORP
4,Gita,PERSON
4,Sneha,PERSON
4,Indian,NORP
4,Thai,NORP
4,Goa,PERSON
4,MEA,ORG
4,Thai,NORP
4,ministry of external affairs,ORG
4,Bangkok,GPE
4,Lutra,ORG
4,Phuket,GPE
4,Thai,NORP
4,Sneighha,PERSON
4,India,GPE
4,Thailand,GPE
4,two,CARDINAL
4,Thailand,GPE
4,India,GPE
4,Thai,NORP
4,Gita,PERSON
4,Indian,NORP
4,Thailand,GPE
4,Lutra,ORG
4,5 days,DATE
4,Lutra,ORG
4,thousands of kilometers,QUANTITY
4,Thailand,GPE
4,Sodom,ORG
4,Lutra,NORP
4,25,CARDINAL
4,Fuket,PERSON
4,Lutras,ORG
4,Bangkok,GPE
4,Thai,NORP
4,the ministry of the homeland detain,ORG
4,Goa,PERSON
4,India,GPE
4,CBI,ORG
4,Goa,LOC
4,One,CARDINAL
4,Anjuna beach,GPE
4,Anjuna beach,GPE
4,North Goa,LOC
4,Goa,PERSON
4,Goa,PERSON
4,Burchch,PRODUCT
4,Romeulin,ORG
4,One,CARDINAL
4,Goya,ORG
4,yesterday,DATE
4,Goya,ORG
4,Dir Singh,PERSON
4,Goa,GPE
4,India,GPE
4,today,DATE
4,Lutra,ORG
4,Burj,PERSON
4,North Goa,LOC
4,NOOCC,ORG
4,NOOCC,ORG
4,four,CARDINAL
4,India,GPE
4,Indian,NORP
4,Lutra,ORG
4,Bangkok,GPE
4,Thai,NORP
4,Lutra,ORG
5,DEH,ORG
5,Shamila Monttero,PERSON
5,Siddhi Harbanker,PERSON
5,Panchad,ORG
5,Raguir Baker,PERSON
5,Raguir Banker,ORG
5,this afternoon,TIME
5,Bragir Bakar,PERSON
5,Goa,PERSON
5,Lutra,ORG
5,today,DATE
5,Delhi,GPE
5,today,DATE
5,India,GPE
5,Today,DATE
5,Rahul Gandhi,PERSON
5,the zero hour,TIME
5,today,DATE
5,Kirin Juju,PERSON
5,India,GPE
5,today,DATE
5,millions,CARDINAL
5,these days,DATE
5,zero hour,TIME
5,one,CARDINAL
5,the next 5 or 10 years,DATE
5,the day one,DATE
5,Rahul Gandhi G. Government,PERSON
5,BAC,ORG
5,zero hour,TIME
5,today,DATE
5,Ral Gandhi,PERSON
5,Lok Sabha,PERSON
6,months,DATE
6,Zubin,ORG
6,"3,500",CARDINAL
6,that night,TIME
6,over 300,CARDINAL
6,Zubin,ORG
6,Sepan Garag,FAC
6,Shamakanu Mahantaa,PERSON
6,Sedh Sharma,PERSON
6,Shaker Joti Gow,PERSON
6,Swami Kos Singha,PERSON
6,Amitrit,GPE
6,Prava Mahanta,PERSON
6,Pes Bashia,PERSON
6,Nandeshwar Bora,PERSON
6,four,CARDINAL
6,seven,CARDINAL
6,Shama Kanu Mahanta,ORG
6,Sadhhat Shama,PERSON
6,BNS,ORG
6,Ajaka Kasam,PERSON
6,SIT,ORG
6,Zubin Gag,PERSON
6,SIT,ORG
6,19th December,DATE
6,BNS,ORG
6,last September October,DATE
7,Rajnik Khan,PERSON
7,75,DATE
7,India,GPE
7,Today,DATE
7,Putin,PERSON
7,India,GPE
7,IndiaRussia,ORG
7,India,GPE
7,Today,DATE
7,Putin,PERSON
7,India,GPE
7,India,GPE
7,Today,DATE
7,India,GPE
7,Amazon,ORG
7,Blinket,GPE
7,Sana,PERSON
7,25,CARDINAL
7,11,CARDINAL
7,Mumbai,GPE
7,28,CARDINAL
7,21,CARDINAL
7,27,DATE
7,15,CARDINAL
7,Benaluru,GPE
7,26,CARDINAL
7,15,CARDINAL
7,28,CARDINAL
7,22,CARDINAL
7,28,CARDINAL
7,13,CARDINAL
7,India,GPE
7,Today,DATE
7,100 million,CARDINAL
7,N. You,PERSON
7,India,GPE
7,Today,DATE
7,Taliva Day,DATE
7,Superstar,PERSON
8,Rajnikan,GPE
8,75,DATE
8,Tamil,PERSON
8,Rajnik Khan's,PERSON
8,Kamalasan,ORG
8,75 years,DATE
8,50 years,DATE
8,K Stalin,PERSON
8,The day,DATE
8,Taliva,ORG
8,Paria,ORG
8,Chennai,GPE
8,Kasi,PERSON
8,one,CARDINAL
8,second,ORDINAL
8,Rajni,NORP
8,Parapa,NORP
8,Nilamuri,GPE
8,berserk,GPE
8,Rajni,NORP
8,today,DATE
8,Tamar,PRODUCT
8,today,DATE
8,Tamilan,ORG
8,everyday,DATE
8,Rajini,PERSON
8,75,CARDINAL
8,today,DATE
8,One,CARDINAL
8,Rajini Kh,PERSON
8,Daniel,PERSON
8,India,GPE
8,today,DATE
8,Chennai,ORG
8,75 years,DATE
8,Rohini,PERSON
8,Parapa,NORP
8,one,CARDINAL
8,Raji Khal,PERSON
8,Superstar,PERSON
8,God,PERSON
8,Superstar,PERSON
8,Only one,CARDINAL
8,Only one,CARDINAL
8,Superstar,PERSON
8,Rajinik,PERSON
8,so many years,DATE
8,Rajan,NORP
8,Tal,PERSON
8,Tal,GPE
8,one,CARDINAL
8,Rajnik,PERSON
8,Today,DATE
9,Rajigat,ORG
9,75th,ORDINAL
9,50th year,DATE
9,Today,DATE
9,a first day first,DATE
9,Rajnik Khan,PERSON
10,India,GPE
10,Today,DATE
10,Karnataka,GPE
10,four,CARDINAL
10,kendras,PERSON
10,janoshi generic medicines,ORG
10,yesterday,DATE
10,Karnataka High Court,ORG
10,Delhi,GPE
10,India,GPE
10,today,DATE
10,Rahul Gandhi,PERSON
10,Kirin Deiju,PERSON
10,Roy,PERSON
10,Makard,ORG
10,Gajendra Singh Shikhawa,PERSON
10,BJP,ORG
10,Delhi,GPE
10,Ura Takur,PERSON
10,DMC,ORG
10,Amir Khan,PERSON
10,Lokesh Kanagaraj,PERSON
10,one,CARDINAL
10,Lokesh,PERSON
10,air,ORG
10,Rajnik Khan's,PERSON
10,Rajkumar Hirani,PERSON
10,Dada Sahibit,FAC
10,Indian,NORP
10,Media,ORG
10,Entertainment Bureau,ORG
10,India,GPE
10,Today,DATE
10,India,GPE
10,Today,DATE
10,Vizy,PERSON
10,months,DATE
10,Big India Today,ORG
10,10 days,DATE
10,House,ORG
10,five,CARDINAL
10,winter,DATE
10,Delhi city,GPE
10,winter,DATE
10,around 350,CARDINAL
10,India,GPE
10,today,DATE
10,zero hour,TIME
10,today,DATE
10,Today,DATE
10,Lok Sabha,PERSON
10,Rahul Gandhi,PERSON
10,five,CARDINAL
10,Sighha Modani,PERSON
10,Goa,PERSON
10,Lutra,ORG
10,Bangkok,GPE
10,India,GPE
10,Indigo,ORG
10,DGCA,ORG
10,four,CARDINAL
10,second,ORDINAL
10,Sansa,GPE
10,2 days,DATE
10,Anurak Takur,PERSON
10,Trinamul Congress MP,ORG
10,TMC,ORG
10,Shogatar Roy,PERSON
10,BJP,ORG
10,Anurak Taku Ricks Deepam,ORG
10,Lok Sabha,PERSON
10,DMK,ORG
10,anti-Hindu,NORP
10,50,CARDINAL
10,Deepam,ORG
10,India,GPE
10,today,DATE
10,Rahul Gandhi,PERSON
10,Kirin Rajuju,PERSON
10,Karnataka,GPE
10,two,CARDINAL
10,A day,DATE
10,shifkumar,PERSON
10,more than 50,CARDINAL
10,Karnataka,ORG
10,more than 47,CARDINAL
10,between 2023 and 2025,DATE
10,Expel Congress Emily,ORG
10,Rahul Mam Kutil,PERSON
10,14 days,DATE
10,Thursday,DATE
10,Palakad,GPE
11,Messi,PERSON
11,hours,TIME
11,India,GPE
11,3-day,DATE
11,Kolkata,PERSON
11,70,CARDINAL
11,Modi,PERSON
11,Superstar Rajnik Khan,PERSON
11,75,DATE
11,Tamil,PERSON
11,weeks,DATE
12,India,GPE
12,today,DATE
12,winter,DATE
12,10 days,DATE
12,10 long days,DATE
12,India,GPE
12,today,DATE
12,millions,CARDINAL
12,every single day,DATE
12,weeks,DATE
12,India,GPE
12,Today,DATE
12,winter,DATE
12,Kirin Riiru,PERSON
12,Advisory Committee,ORG
12,the day,DATE
12,Rahul Gandhi G.,PERSON
12,the Lok Sabha's,FAC
12,India,GPE
12,today,DATE
12,millions,CARDINAL
12,a single minute,TIME
12,today,DATE
12,Delhi,GPE
12,Delhi,GPE
12,500,CARDINAL
12,Sneha Morani,PERSON
12,Sonel Mehotra Kapoor,PERSON
12,Ber,PERSON
12,India,GPE
12,today,DATE
12,Ashwaryia,ORG
12,today,DATE
12,zero hour,TIME
12,Rahul Gandhi,PERSON
12,Sodel,PERSON
12,every single day,DATE
12,about 10 days ago,DATE
12,first,ORDINAL
12,zero hour,TIME
12,Rahul Gandhi,PERSON
12,BAC,ORG
12,BAC,ORG
12,next week,DATE
12,27 long years,DATE
12,BJP,ORG
12,the next one year,DATE
12,the next 3 to four months,DATE
12,Delhi,GPE
12,two in zero hour,TIME
