segment_id,entity,label
0,Indigo,ORG
0,DGC,ORG
0,Second,ORDINAL
0,Sansa,GPE
0,two days,DATE
0,Anurak Takur,PERSON
0,TMC,ORG
0,Shogatar Roy,PERSON
0,BJP,ORG
0,Shogatas,ORG
0,Lok Sabha,PERSON
0,DMK,ORG
0,anti-Hindu,NORP
0,Over 50,CARDINAL
0,condemn impeachment motion,ORG
0,Deepam,ORG
0,India,GPE
0,today,DATE
0,Rahul Gandhi,PERSON
0,zero hour,TIME
0,Kirinu,PERSON
0,India,GPE
0,today,DATE
0,50th,ORDINAL
0,India,GPE
0,today,DATE
0,two,CARDINAL
0,Muri,GPE
0,Tamil Nadu's,PERSON
0,tomorrow,DATE
0,Maduray,GPE
0,Madras,LOC
0,BJP,ORG
0,BJP,ORG
0,DMK,ORG
0,Anurra Takur,PERSON
0,DMK,ORG
0,Takur,PERSON
0,This comes days,DATE
0,Amit Sha,PERSON
0,Justice,ORG
0,Swami Natan,PERSON
0,Over 50,CARDINAL
0,Swaminatan,PERSON
0,one,CARDINAL
0,India,GPE
0,anti-sanatan,NORP
0,Sanatan Dharma,PERSON
0,Ram,ORG
0,Maduray,ORG
0,Madras High Court,ORG
0,Tamil Ladu,PERSON
0,Aarthikai,GPE
0,the Maduray Thiru Kundaram Temple,FAC
0,Stalin,PERSON
0,Hindus,NORP
0,BJP,ORG
0,DMK,ORG
0,the end of the day,DATE
0,Anaga,PERSON
0,G. Swami,PERSON
0,Natan,GPE
0,India,GPE
0,today,DATE
0,Maduray,ORG
0,Madras,LOC
1,Tamil Nadu,PERSON
1,DMK,ORG
1,Tamil Nadu,FAC
1,the last 100 years,DATE
1,the year 1920,DATE
1,Gapati,NORP
1,the last 100 years,DATE
1,Tamil Nadu,PERSON
1,Hindu,NORP
1,Tamil Nadu,PERSON
1,Madras,LOC
1,Maday,DATE
1,Maduray,ORG
1,Indigo,ORG
1,Peter Albers,PERSON
1,DGCA,ORG
1,Poke Committee,ORG
1,four,CARDINAL
1,today,DATE
1,Indigo,ORG
1,F,ORG
1,the first week of December,DATE
1,Peter Elers,PERSON
1,Indigo,ORG
1,four,CARDINAL
1,DGCA,ORG
1,Indigo,ORG
1,the first week of December,DATE
1,Peter Elers,PERSON
1,Indigo,ORG
1,four,CARDINAL
1,four,CARDINAL
1,India,GPE
1,Indigo,ORG
1,15 days,DATE
1,the first week of December,DATE
1,DGCA,ORG
1,Indigo,ORG
1,Indigo,ORG
1,Peter Albus,PERSON
1,DGCS,NORP
1,four,CARDINAL
1,Indigo,ORG
1,the first week of December,DATE
1,Indigo,ORG
1,Indigo,ORG
1,DGCA,ORG
1,four,CARDINAL
1,Indigo,ORG
1,the Indigo Airlines,ORG
1,Indigo,ORG
1,Peter Albus,PERSON
1,two,CARDINAL
1,two days,DATE
1,Brah Mohunaidu,PERSON
1,Indigo,ORG
1,Indigo,ORG
1,Indigo,ORG
1,India,GPE
2,one day,DATE
2,two days,DATE
2,FTL,ORG
2,Indigo,ORG
2,Karnataka,GPE
2,Congress,ORG
2,Sedaraya,ORG
2,BJP,ORG
2,TCM,ORG
2,CM,ORG
2,Delhi,GPE
2,Karnataka,GPE
2,Pharaoh,ORG
2,DCM,ORG
2,Karnataka,GPE
2,Sidraaya,PERSON
2,Delhi,GPE
3,Karnataka,GPE
3,Karnataka,GPE
3,Yatra Sidraaya,PERSON
3,DK Shukumar's,PERSON
3,Diamond,ORG
3,Karnataka,ORG
3,BJP,ORG
3,DK Shukumar,PERSON
3,Sidraa,LOC
3,DK Shukuma,PERSON
3,Congress,ORG
3,CM,ORG
3,Sidraaya,PERSON
3,Congress,ORG
3,Delhi,GPE
3,Karnataka,GPE
3,CM,ORG
3,Congress,ORG
3,Sidraaya,PERSON
3,DKS,ORG
3,BJP,ORG
3,Karnataka,GPE
3,Congress,ORG
3,BJP,ORG
3,meme fest,ORG
3,Chalawadi Nar,PERSON
3,Swami,PERSON
3,the saffron party,ORG
3,CWC,ORG
3,DPRK,ORG
3,Congress,ORG
3,Sagay Raj Bureau,ORG
3,India,GPE
3,today,DATE
3,India,GPE
3,Bangkok,GPE
3,Thai,NORP
3,Sorab,ORG
3,Gorav Lutra,ORG
3,two,CARDINAL
3,Thai,NORP
3,Fukit,FAC
3,this hour,TIME
3,Indian,NORP
3,Thai,NORP
3,two,CARDINAL
3,yesterday,DATE
3,Thai,NORP
3,Gita,PERSON
3,Sneha,PERSON
3,Indian,NORP
3,Thai,NORP
3,Goa,PERSON
3,MEA,ORG
3,Thai,NORP
3,ministry of external affairs,ORG
3,Bangkok,GPE
3,Lutra,ORG
3,Phuket,GPE
3,Thai,NORP
3,Sneighha,PERSON
3,India,GPE
3,Thailand,GPE
3,two,CARDINAL
3,Thailand,GPE
3,India,GPE
3,Thai,NORP
3,Gita,PERSON
3,Indian,NORP
3,Thailand,GPE
3,Lutra,ORG
3,5 days,DATE
3,Lutra,ORG
3,thousands of kilometers,QUANTITY
3,Thailand,GPE
3,Sodom,ORG
3,Lutra,NORP
3,25,CARDINAL
3,Fuket,PERSON
3,Lutras,ORG
3,Bangkok,GPE
3,Thai,NORP
3,the ministry of the homeland detain,ORG
3,Goa,PERSON
3,India,GPE
3,CBI,ORG
3,Goa,LOC
3,One,CARDINAL
3,Anjuna beach,GPE
3,Anjuna beach,GPE
3,North Goa,LOC
3,Goa,PERSON
3,Goa,PERSON
3,Burchch,PRODUCT
3,Romeulin,ORG
3,One,CARDINAL
3,Goya,ORG
3,yesterday,DATE
3,Goya,ORG
3,Dir Singh,PERSON
3,Goa,GPE
3,India,GPE
3,today,DATE
3,Lutra,ORG
3,Burj,PERSON
3,North Goa,LOC
3,NOOCC,ORG
3,NOOCC,ORG
3,four,CARDINAL
3,India,GPE
3,Indian,NORP
3,Lutra,ORG
3,Bangkok,GPE
3,Thai,NORP
3,Lutra,ORG
4,DEH,ORG
4,Shamila Monttero,PERSON
4,Siddhi Harbanker,PERSON
4,Panchad,ORG
4,Raguir Baker,PERSON
4,Raguir Banker,ORG
4,this afternoon,TIME
4,Bragir Bakar,PERSON
4,Goa,PERSON
4,Lutra,ORG
4,today,DATE
4,Delhi,GPE
4,today,DATE
4,India,GPE
4,Today,DATE
4,Rahul Gandhi,PERSON
4,the zero hour,TIME
4,today,DATE
4,Kirin Juju,PERSON
4,India,GPE
4,today,DATE
4,millions,CARDINAL
4,these days,DATE
4,zero hour,TIME
4,one,CARDINAL
4,the next 5 or 10 years,DATE
4,the day one,DATE
4,Rahul Gandhi G. Government,PERSON
4,BAC,ORG
4,zero hour,TIME
4,today,DATE
4,Ral Gandhi,PERSON
4,Lok Sabha,PERSON
5,months,DATE
5,Zubin,ORG
5,"3,500",CARDINAL
5,that night,TIME
5,over 300,CARDINAL
5,Zubin,ORG
5,Sepan Garag,FAC
5,Shamakanu Mahantaa,PERSON
5,Sedh Sharma,PERSON
5,Shaker Joti Gow,PERSON
5,Swami Kos Singha,PERSON
5,Amitrit,GPE
5,Prava Mahanta,PERSON
5,Pes Bashia,PERSON
5,Nandeshwar Bora,PERSON
5,four,CARDINAL
5,seven,CARDINAL
5,Shama Kanu Mahanta,ORG
5,Sadhhat Shama,PERSON
5,BNS,ORG
5,Ajaka Kasam,PERSON
5,SIT,ORG
5,Zubin Gag,PERSON
5,SIT,ORG
5,19th December,DATE
5,BNS,ORG
5,last September October,DATE
6,Rajnik Khan,PERSON
6,75,DATE
6,India,GPE
6,Today,DATE
6,Putin,PERSON
6,India,GPE
6,IndiaRussia,ORG
6,India,GPE
6,Today,DATE
6,Putin,PERSON
6,India,GPE
6,India,GPE
6,Today,DATE
6,India,GPE
6,Amazon,ORG
6,Blinket,GPE
6,Sana,PERSON
6,25,CARDINAL
6,11,CARDINAL
6,Mumbai,GPE
6,28,CARDINAL
6,21,CARDINAL
6,27,DATE
6,15,CARDINAL
6,Benaluru,GPE
6,26,CARDINAL
6,15,CARDINAL
6,28,CARDINAL
6,22,CARDINAL
6,28,CARDINAL
6,13,CARDINAL
6,India,GPE
6,Today,DATE
6,100 million,CARDINAL
6,N. You,PERSON
6,India,GPE
6,Today,DATE
6,Taliva Day,DATE
6,Superstar,PERSON
7,Rajnikan,GPE
7,75,DATE
7,Tamil,PERSON
7,Rajnik Khan's,PERSON
7,Kamalasan,ORG
7,75 years,DATE
7,50 years,DATE
7,K Stalin,PERSON
7,The day,DATE
7,Taliva,ORG
7,Paria,ORG
7,Chennai,GPE
7,Kasi,PERSON
7,one,CARDINAL
7,second,ORDINAL
7,Rajni,NORP
7,Parapa,NORP
7,Nilamuri,GPE
7,berserk,GPE
7,Rajni,NORP
7,today,DATE
7,Tamar,PRODUCT
7,today,DATE
7,Tamilan,ORG
7,everyday,DATE
7,Rajini,PERSON
7,75,CARDINAL
7,today,DATE
7,One,CARDINAL
7,Rajini Kh,PERSON
7,Daniel,PERSON
7,India,GPE
7,today,DATE
7,Chennai,ORG
7,75 years,DATE
7,Rohini,PERSON
7,Parapa,NORP
7,one,CARDINAL
7,Raji Khal,PERSON
7,Superstar,PERSON
7,God,PERSON
7,Superstar,PERSON
7,Only one,CARDINAL
7,Only one,CARDINAL
7,Superstar,PERSON
7,Rajinik,PERSON
7,so many years,DATE
7,Rajan,NORP
7,Tal,PERSON
7,Tal,GPE
7,one,CARDINAL
7,Rajnik,PERSON
7,Today,DATE
8,Rajigat,ORG
8,75th,ORDINAL
8,50th year,DATE
8,Today,DATE
8,a first day first,DATE
8,Rajnik Khan,PERSON
8,India,GPE
8,Today,DATE
8,Karnataka,GPE
8,four,CARDINAL
8,kendras,PERSON
8,janoshi generic medicines,ORG
8,yesterday,DATE
8,Karnataka High Court,ORG
8,Delhi,GPE
8,India,GPE
8,today,DATE
8,Rahul Gandhi,PERSON
8,Kirin Deiju,PERSON
8,Roy,PERSON
8,Makard,ORG
8,Gajendra Singh Shikhawa,PERSON
8,BJP,ORG
8,Delhi,GPE
8,Ura Takur,PERSON
8,DMC,ORG
8,Amir Khan,PERSON
8,Lokesh Kanagaraj,PERSON
8,one,CARDINAL
8,Lokesh,PERSON
8,air,ORG
8,Rajnik Khan's,PERSON
8,Rajkumar Hirani,PERSON
8,Dada Sahibit,FAC
8,Indian,NORP
8,Media,ORG
8,Entertainment Bureau,ORG
8,India,GPE
8,Today,DATE
8,India,GPE
8,Today,DATE
8,Vizy,PERSON
8,months,DATE
8,Big India Today,ORG
8,10 days,DATE
8,House,ORG
8,five,CARDINAL
8,winter,DATE
8,Delhi city,GPE
8,winter,DATE
8,around 350,CARDINAL
8,India,GPE
8,today,DATE
8,zero hour,TIME
8,today,DATE
8,Today,DATE
8,Lok Sabha,PERSON
8,Rahul Gandhi,PERSON
8,five,CARDINAL
8,Sighha Modani,PERSON
8,Goa,PERSON
8,Lutra,ORG
8,Bangkok,GPE
8,India,GPE
8,Indigo,ORG
8,DGCA,ORG
8,four,CARDINAL
8,second,ORDINAL
8,Sansa,GPE
8,2 days,DATE
8,Anurak Takur,PERSON
8,Trinamul Congress MP,ORG
8,TMC,ORG
8,Shogatar Roy,PERSON
8,BJP,ORG
8,Anurak Taku Ricks Deepam,ORG
8,Lok Sabha,PERSON
8,DMK,ORG
8,anti-Hindu,NORP
8,50,CARDINAL
8,Deepam,ORG
8,India,GPE
8,today,DATE
8,Rahul Gandhi,PERSON
8,Kirin Rajuju,PERSON
8,Karnataka,GPE
8,two,CARDINAL
8,A day,DATE
8,shifkumar,PERSON
8,more than 50,CARDINAL
8,Karnataka,ORG
8,more than 47,CARDINAL
8,between 2023 and 2025,DATE
8,Expel Congress Emily,ORG
8,Rahul Mam Kutil,PERSON
8,14 days,DATE
8,Thursday,DATE
8,Palakad,GPE
9,Messi,PERSON
9,hours,TIME
9,India,GPE
9,3-day,DATE
9,Kolkata,PERSON
9,70,CARDINAL
9,Modi,PERSON
9,Superstar Rajnik Khan,PERSON
9,75,DATE
9,Tamil,PERSON
9,weeks,DATE
9,India,GPE
9,today,DATE
9,winter,DATE
9,10 days,DATE
9,10 long days,DATE
9,India,GPE
9,today,DATE
9,millions,CARDINAL
9,every single day,DATE
9,weeks,DATE
9,India,GPE
9,Today,DATE
9,winter,DATE
9,Kirin Riiru,PERSON
9,Advisory Committee,ORG
9,the day,DATE
9,Rahul Gandhi G.,PERSON
9,the Lok Sabha's,FAC
9,India,GPE
9,today,DATE
9,millions,CARDINAL
9,a single minute,TIME
9,today,DATE
9,Delhi,GPE
9,Delhi,GPE
9,500,CARDINAL
9,Sneha Morani,PERSON
9,Sonel Mehotra Kapoor,PERSON
9,Ber,PERSON
9,India,GPE
9,today,DATE
9,Ashwaryia,ORG
9,today,DATE
9,zero hour,TIME
9,Rahul Gandhi,PERSON
9,Sodel,PERSON
9,every single day,DATE
9,about 10 days ago,DATE
9,first,ORDINAL
9,zero hour,TIME
9,Rahul Gandhi,PERSON
9,BAC,ORG
9,BAC,ORG
9,next week,DATE
9,27 long years,DATE
9,BJP,ORG
9,the next one year,DATE
9,the next 3 to four months,DATE
9,Delhi,GPE
9,two in zero hour,TIME
